pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Latitude;Longitude;Manancial;Lat_Norm;Long_Norm
0.495;0.0025;0;0;0;0.008402815;-8.13436;-41.1431;2;0.656454062;0.727631931
0.54;0.0475;0.3;0;0;0.082777154;-13.7537;-41.048;2;0.512453419;0.729738579
0.51;0.03575;0.378;0;0;0;-18.9844;-41.6527;1;0.378412024;0.716343311
0.52;0.01575;0.12;1;0;0.014848623;-10.758;-37.3251;2;0.589220927;0.812207968
0.386;0.065;0;;;0.931844315;-9.06596;-68.6571;1;0.632580974;0.118143952
0.51;0.0025;0.03;0;0;0;-14.3598;-40.2064;1;0.496921561;0.748381636
0.58;0.03325;0.076;0;0;0.016967251;-20.4704;-45.127;1;0.340331937;0.639380889
0.498;0.0005;0.232;0;0;0.918632631;-18.7755;-41.4781;1;0.383765275;0.720211037
0.21;0.12175;0.17;0;0;0.015115763;-3.77191;-49.5735;2;0.768245769;0.540882369
0.56;0.003;0.05;0;0;0.827625955;-7.58969;-35.4808;2;0.670411721;0.853062758
0.5;0.0065;0.182;0;0;0.00595413;-7.06092;-36.5793;2;0.683961928;0.828728872
0.54;0.15975;0;0;0;0.348835477;-10.3545;-38.2213;3;0.599560977;0.792355416
0.52;0.00575;0.2;0;0;0.387833812;-12.1144;-43.8958;1;0.554461956;0.666654335
0.412;0.002;0.25;0;0;0.611539737;-8.41519;-37.0577;2;0.649257541;0.818131392
0.33;0.102;0.025;0;0;0.90214136;-27.937574;-50.515321;3;0.148978885;0.520019223
0.48;0.0095;0.25;0;0;0.096565085;-26.9548;-49.3783;1;0.174163353;0.545206424
0.55;0.00775;0.16;0;0;0;-2.76141;-42.2755;1;0.794140741;0.702547094
0.5;0.035;0.108;0;0;1;-24.7147;-47.8742;1;0.231567931;0.578525129
0.369;0.06;0.04;0;0;0.847356575;-10.3524;-37.7002;1;0.599614791;0.803898783
0.52;0.00025;0.2;1;0;2.34588E-05;-7.70734;-37.8446;1;0.667396834;0.800700045
0.453;0.0185;0.1;0;0;0.234498442;-8.6592;-35.1532;2;0.643004565;0.860319728
0.265;0.00825;0.02;0;0;0.790207268;-11.0208;-40.2956;2;0.58248644;0.746405685
0.58;0;0.1;0;0;0.460832435;-22.3044;-45.3773;1;0.293334037;0.633836263
0.546;0.0305;0.022;0;1;0.290437355;-9.06596;-68.6571;1;0.632580974;0.118143952
0.456;0.01;0.092;0;0;0.544733814;-27.7455;-49.9423;1;0.153900954;0.53271274
0.448;0.0025;0.08;0;0;0.010652034;-8.2328;-35.796;1;0.653931449;0.846080472
0.49;0.01;0.15;0;0;0.513480146;-31.8419;-52.8004;2;0.048927018;0.469400332
0.48;0.02;0.045;1;0;0.246926589;-26.8794;-52.8568;3;0.176095546;0.468150964
0.47;0.01975;0.15;1;0;0.865738112;-5.79357;-35.1986;3;0.716438912;0.85931403
0.474;0.01075;0.1;1;0;0.014917536;-10.9578;-41.0756;3;0.584100872;0.729127185
0.49;0.0028;0.13;1;0;0;-27.4219;-49.7789;3;0.162193495;0.536332364
0.55;0.002;0.01;0;0;0.088794329;-11.8881;-49.1609;3;0.560261097;0.550022252
0.377;0.01125;0.2;0;0;0.780737018;-12.9771455;-38.4951725;1;0.532353326;0.786288614
0.251;0.0005;0.03;1;0;0.121255221;-8.81175;-36.0137;1;0.639095334;0.841257999
0.49;0.00775;0.076;0;0;0.003986933;-7.37696;-37.4787;2;0.675863119;0.808805433
0.495;0.0155;0;0;0;0.504352407;-19.4628;-45.5927;1;0.366152594;0.629064739
0.46;0.0005;0.16;0;0;0.717095294;-2.59828;-43.4649;1;0.798321094;0.676199599
0.506;0.04525;0.2;0;0;0.06349066;-8.41519;-37.0577;2;0.649257541;0.818131392
0.5;0.007475;0.3;0;0;0.286468728;-9.52221;-43.0126;1;0.620889157;0.686218913
0.45;0.00975;0.108;0;0;0.771269712;-17.2183;-40.0974;2;0.423669926;0.750796195
0.555;0;0.04;;;0.612921061;-3.6204887;-43.1096971;3;0.772126076;0.684068025
0.48;0.00275;0.15;0;0;0.718660686;-3.45125;-44.8643;1;0.77646297;0.645200199
0.41;0.0325;0.13;0;0;0.684328844;-20.4704;-45.127;1;0.340331937;0.639380889
0.4;0;0.137;0;0;0.033517587;-26.0817;-53.0535;1;0.196537326;0.463793681
0.52;0.02325;0.053;0;0;0.614476557;-12.2664;-38.9663;1;0.550566819;0.775852234
0.532;0.0635;0.05;0;0;0.455106086;-19.82;-40.2764;1;0.356999023;0.746831001
0.51;0.0025;0.3;1;0;1;-7.531451;-34.996345;2;0.671904148;0.863794367
0.6;0.00225;0.112;0;0;0.666243893;-21.4713;-46.7448;1;0.314682974;0.60354351
0.478;0.0225;0.152;0;0;0.77992619;-11.2329;-38.4871;3;0.577051187;0.786467435
0.51;0.01175;0.189;0;0;0.183248674;-8.81175;-36.0137;1;0.639095334;0.841257999
