Nitrato;pH;Turbidez;CRL;Coliformes;Ecoli
1.2;;;;;
0.2;;;;;
1.2;;;;;
0.2;;;;;
1.5;;;;;
1.6;;;;;
0.8;;;;;
6.1;;;;;
3.9;;;;;
1.1;;;;;
0.2;;;;;
3.2;;;;;
0.243;;;;;
2.4;;;;;
5.6;;;;;
0;;;;;
10.6;;;;;
1.2;;;;;
5.8;;;;;
;;;;;
4.9;;;;;
0.9;;;;;
2;;;;;
6.2;;;;;
1;;3.83;;1;1
0.7;;6.66;;;
0.8;7.2;1.39;0;1;0
0;;;;;
0.5;;;;;
0.4;;;;;
1.3;7.96;3.27;;1;1
2.5;;;;;
4.4;;;;;
0.7;;;;;
1.1;;;;;
3.8;;;;;
;;;;;
0.2;;;;;
0.4;;;;;
0.1;;;;;
0.5;;;;;
0.5;;;;;
3.3;;;;;
0.5;;;;;
1.2;6.93;3.91;0.02;1;0
3.4;7.64;0.374;0;1;0
1.5;8.04;2.84;0.04;0;0
0.1;;;;;
0;;;;;
4.8;;;;;
0.14;7.3;0.9;;0;0
0.23;7.29;0.34;;0;0
0.5;8.03;0.72;;1;0
35.2;;;;;
0.3;;;;;
0.9;;;;;
2.7;;;;;
3.3;;;;;
5;;;;;
8.8;;;;;
0.4;;;;;
0.5;;;;;
3.6;;;;;
0;;;;;
0.6;;;;;
4;;;;;
0;;;;;
0.03;;;;;
0.7;;;;;
2.3;;;;;
1.2;;;;;
5.6;;;;;
6.4;;;;;
6.5;;;;;
0.9;;;;;
0.7;;;;;
7.6;;;;;
7.4;;;;;
6.3;4.8;0.9;;;
8;;;;;
5.7;;;;;
0.3;;;;;
1.7;;;;;
0.4;;;;;
0.2;;;;;
6.1;4.7;2;;;
0.5;;;;;
0.3;;;;;
0;;;;;
0;;;;;
0.01;;;;;
4.4;;;;;
7.7;;;;;
4.1;;;;;
1.6;;;;;
2.9;;;;;
0.4;;;;;
9.7;6.3;3.4;0;0;0
0;;;;;
0;;;;;
0;;;;;
0.404;;;;;
;;;;;
2.8;7.63;16.5;0.48;0;0
1.5;8.06;7.06;0.13;;0
1.2;6.64;1.83;0.37;0;0
1.7;;3.03;1.03;0;0
1.2;6.89;0.086;0;0;0
20.6;7.4;4.3;;0;0
1;;;;;
0.4;;;;;
0.3;;;;;
0.3;;;;;
0;;;;;
0;;;;;
1.3;6.77;2.22;0.15;0;0
3.7;;;;;
0.9;;;;;
1.4;;;;;
0.2;;;;;
0.29;;;;;
0.24;;;;;
7.7;;;;;
1.8;;;;;
4.1;;;;;
5.8;;;;;
0.7;;;;;
0;;;;;
0;;;;;
5.6;;;;;
5.7;;;;;
10.5;;;;;
0;;;;;
11;;;;;
11.3;;;;;
19.2;;;;;
5.9;;;;;
11.6;;;;;
13.9;;;;;
10.6;;;;;
5.8;;;;;
9.3;;;;;
4.6;;;;;
10;;;;;
6.2;;;;;
2.5;;;;;
;;;;;
0.9;7.53;0.1;1.14;0;0
0.5;7.19;0.36;1.21;0;0
0.8;6.86;1.03;1.32;0;0
1;6.79;0.1;1.35;0;0
0.55;;;;;
0.55;;;;;
0.61;;;;;
0.5;7.83;1.35;0.96;0;0
0.39;;;;;
0.018;;;;;
0.246;;;;;
0.166;;;;;
0.098;;;;;
0.191;7.37;0.41;;;
;;11;0.01;0;0
0.47;6.53;0.34;0.9;0;0
0.61;7.75;6.5;0.01;1;
10;7.16;4.85;;;
0.3;6.91;94.1;0.01;1;
0.49;8.65;13.2;0.01;1;
150;7.32;4.49;;;
0.1;7.53;0.34;1.73;0;0
0.67;8.29;1.78;;0;0
100;6.79;2.36;0.01;0;0
0.315;7.34;63.7;;;
;;;;;
0.49;7.28;0.34;1.4;0;0
1.21;7.55;0.12;1.39;0;0
0.7;;;;;
0.7;;;;;
0.4;;;;;
0.6;;;;;
0.5;;11.3;;;
0.07;7.6;0.12;;1;0
0.5;7.67;2.02;;1;0
0.5;;0.63;;0;0
0.5;;0.27;;1;0
;7.1;0.68;1.3;;
;8.9;0.67;2;;
11.3;;;;;
16.2;;;;;
19.04;;;;;
5.8;;;;;
5.3;;;;;
2.8;;;;;
15.4;;;;;
11.2;;;;;
8.6;;;;;
11.1;;;;;
17.9;;;;;
15.3;;;;;
23.1;;;;;
17.9;;;;;
7.6;;;;;
23.6;;;;;
19.3;;;;;
22.7;;;;;
16;;;;;
10.7;;;;;
12.5;;;;;
0.7;;;;;
6.9;;;;;
7.6;;;;;
4;;;;;
5.6;;;;;
8.3;;;;;
16.3;;;;;
18.6;;;;;
7.5;;;;;
7.3;;;;;
6.1;;;;;
5.3;;;;;
7.1;;;;;
6.6;;;;;
13.9;;;;;
17.4;;;;;
11.9;;;;;
7.3;;;;;
18.3;;;;;
11.5;;;;;
16.9;;;;;
1.9;;;;;
12.1;;;;;
11.2;;;;;
4;;;;;
2;;;;;
2.9;;;;;
4.9;;;;;
12.5;;;;;
8.6;;;;;
11.6;;;;;
4.8;;;;;
11.6;;;;;
17.2;;;;;
10;;;;;
14.9;;;;;
8.4;;;;;
14.4;;;;;
1.9;;;;;
6.3;;;;;
12.3;;;;;
1.6;;;;;
3.6;;;;;
7.4;;;;;
12.3;;;;;
1.7;;;;;
20.2;;;;;
8.7;;;;;
0.3;;;;;
0.2;;;;;
9.5;;;;;
2.3;;;;;
2.9;;;;;
0.1;;;;;
0.2;;;;;
6.5;;;;;
16.2;;;;;
12.9;;;;;
15.8;;;;;
19.2;;;;;
18.1;;;;;
13.6;;;;;
9.9;;;;;
7.7;;;;;
15.6;;;;;
20.4;;;;;
0.61;;;;;
1.8;;;;;
1.8;;;;;
0.62;;;;;
0.47;;;;;
1.2;7.25;0.1;1.83;;
1.1;7.12;0.32;1.16;0;0
0.9;7.17;0.1;1.34;0;0
0.35;;;;;
0.41;;;;;
3.2;;;;;
1.9;;;;;
1.2;;;;;
3.5;;;;;
0.08;;;;;
0;;;;;
2.6;;;;;
1.7;;;;;
0.06;;;;;
2.7;;;;;
0.8;;;;;
0.25;;;;;
0.45;;;;;
0.2;;;;;
0.46;;;;;
0.31;;;;;
0.46;;;;;
0.23;;;;;
0.54;;;;;
0.3;;;;;
0.23;;;;;
0.41;;;;;
0.25;;;;;
0.38;;;;;
1;;;;;
1;;;;;
2.7;;;;;
0;;;;;
0;;;;;
0;;;;;
0.08;;;;;
0.7;;;;;
0;6.05;0.85;;1;0
0;6.8;0.93;;1;0
;;;;;
0.9;;;;;
;;;;;
0;4.67;1.05;0;1;1
0;6.77;5.8;0;1;1
0;6.06;1.22;0;1;0
0.4;;;;;
0.4;;;;;
