pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Norte;Nordeste;Centro-Oeste;Sudeste;Sul;Latitude;Longitude;Manancial
7;100;0.53;1;0;0.089620099;0;1;0;0;0;-3.40202;-44.3508;1
6.5;27.6;0.6;0;0;0.861273507;1;0;0;0;0;-3.83053;-62.0658;3
6.6;4.96;0.71;1;0;0.714688563;0;1;0;0;0;-10.2534;-36.8856;2
8.07;1.4;1.5;0;0;0.377621942;0;0;0;1;0;-23.6737;-46.5432;1
7.72;0.42;0.72;0;0;0.048698332;0;1;0;0;0;-14.5003;-42.2229;2
6.8;0.2;;1;0;1;0;1;0;0;0;-10.9091;-37.0677;1
7.88;2.4;2;0;0;0.628344527;0;0;1;0;0;-18.6238;-50.0805;3
8.16;1.53;;0;0;0.353358666;0;1;0;0;0;-7.564951;-35.012072;3
6.68;0.57;;0;0;0.05737197;0;1;0;0;0;-12.7026;-44.0075;1
6.1;0.38;0.79;0;0;0.78900765;0;0;0;1;0;-20.0407;-47.7466;3
6.5;4.1;1.04;0;0;0.791826987;0;1;0;0;0;-11.3809;-37.6623;1
6.63;0.3;0.6;0;0;0.572015017;0;1;0;0;0;-14.3371;-43.7686;1
7.34;0.02;2.99;0;0;0.396011307;0;1;0;0;0;-12.9718;-38.5011;1
6.61;0.8;0.45;0;0;0.458189176;0;1;0;0;0;-12.1144;-43.8958;1
7.2;0.8;0.3;0;0;1;1;0;0;0;0;-11.8881;-49.1609;3
7.26;0.3;1.49;1;1;0.882313303;0;1;0;0;0;-12.1144;-43.8958;1
6.6;1;0.6;0;0;0.764068698;0;0;0;1;0;-21.5556;-45.4364;1
5.69;0.21;0.6;0;0;0.499797421;0;1;0;0;0;-14.5003;-42.2229;2
7.34;4.6;1.92;0;0;0.839797779;0;1;0;0;0;-14.2063;-39.5207;1
5;0;0.5;0;0;0.94150105;0;1;0;0;0;-8.65791;-36.3293;2
6.8;0.75;2.98;0;0;0.274229075;0;0;0;1;0;-22.8058;-43.3729;1
7.1;2.6;0.22;0;0;0.763374334;0;1;0;0;0;-10.0256;-37.5616;1
8.2;0.04;1.3;0;0;0.584812645;0;1;0;0;0;-8.41519;-37.0577;2
7.65;6.64;2;;;0;0;1;0;0;0;-8.13436;-41.1431;2
7.07;0.99;1.08;0;0;0.646576415;0;1;0;0;0;-14.4229;-39.9031;1
7;0;0.85;0;0;0.065872357;0;1;0;0;0;-8.65791;-36.3293;2
6.8;0;0.94;0;0;0.455475571;0;0;0;0;1;-26.9592;-50.4252;1
7.15;0.1;1.4;0;0;0.376716967;0;1;0;0;0;-14.9823;-39.9269;1
6.45;0.1;0.4;0;0;0;0;1;0;0;0;-12.5242;-40.3059;1
7.44;0.02;2.06;0;0;1;0;1;0;0;0;-12.8937082;-38.440751;1
6.7;0.1;0.54;1;1;0.908338678;0;0;0;1;0;-21.5556;-45.4364;1
6.8;0.9;2;0;0;0.242061247;0;0;0;1;0;-19.3999;-41.1746;1
7.1;0.04;0.41;0;0;0;0;1;0;0;0;-8.81175;-36.0137;1
6.68;0;4.01;0;0;0.193054794;0;1;0;0;0;-7.66373;-35.1002;1
7.24;1.05;0.5;0;0;0.362727249;1;0;0;0;0;-4.37055;-70.1967;1
7.27;0;2.3;0;0;0.882313303;0;1;0;0;0;-12.1144;-43.8958;1
